"","year","entidad","idd","pp_gob","dim_1","dim_2","dim_3","dim_4","pp_izq"
"242",2018,"Nayarit",8.885,"pan",6.666,5.502,0.701,-0.14451518,"pp_otro"
"243",2018,"Nuevo Leon",6.881,"ind",4.887,3.807,1.186,0.790361458,"pp_otro"
"244",2018,"Oaxaca",0.805,"pri",3.531,2.747,0.137,-1.968715932,"pp_otro"
"245",2018,"Puebla",1.531,"pan",4.216,1.889,-1.179,0.264297171,"pp_otro"
"246",2018,"Queretaro",7.322,"pan",6.589,4.628,-0.842,0.747596912,"pp_otro"
"247",2018,"Quintana Roo",4.842,"prd",7.266,1.238,0.187,-0.107358091,"pp_izq"
"248",2018,"San Luis Potosi",4.35,"pri",5.81,2.556,-0.094,-0.193164058,"pp_otro"
"249",2018,"Sinaloa",6.636,"pri",4.862,4.143,0.707,0.708104795,"pp_otro"
"250",2018,"Sonora",4.771,"pri",6.706,0.74,0.315,0.748376136,"pp_otro"
"251",2018,"Tabasco",3.169,"pri",5.354,4.042,-2.201,-0.326195614,"pp_otro"
"252",2018,"Tamaulipas",5.466,"pan",4.772,3.865,0.146,0.438474863,"pp_otro"
"253",2018,"Tlaxcala",2.952,"pri",4.704,3.922,-0.24,-1.740170986,"pp_otro"
"254",2018,"Veracruz",0.659,"pan",5.789,0.686,-1.204,-0.974116801,"pp_otro"
"255",2018,"Yucatan",8.621,"pan",6.451,5.14,0.834,0.028409697,"pp_otro"
"256",2018,"Zacatecas",8.033,"pri",7.353,4.487,0.406,-0.395040442,"pp_otro"
"257",2019,"Aguascalientes",10,"pan",5.512,7.592,0.628,0.89444876,"pp_otro"
"258",2019,"Baja California",6.61620566,"morena",4.782,4.848,1.319,-0.387693711,"pp_izq"
"259",2019,"Baja California Sur",9.916777575,"pan",5.511,7.215,1.329,0.472745178,"pp_otro"
"260",2019,"Campeche",6.498556551,"pri",5.757,4.735,-1.554,1.481225639,"pp_otro"
"261",2019,"Chiapas",2.098210445,"morena",4.883,2.697,-2.116,-0.333165422,"pp_izq"
"262",2019,"Chihuahua",6.070673827,"pan",5.27,4.04,0.521,0.073443971,"pp_otro"
"263",2019,"Cdmx",8.713951706,"morena",5.672,4.458,0.103,2.848558839,"pp_izq"
"264",2019,"Coahuila",7.943665623,"pri",6.41,4.233,0.651,0.861146963,"pp_otro"
"265",2019,"Colima",7.038574026,"pri",4.955,4.49,0.588,1.03444088,"pp_otro"
"266",2019,"Durango",5.75437901,"pan",4.687,5.197,-0.404,0.045513269,"pp_otro"
"267",2019,"Guanajuato",6.26663257,"pan",5.715,3.989,-0.842,1.277778321,"pp_otro"
"268",2019,"Guerrero",0,"pri",3.919,2.538,-0.412,-3.436162692,"pp_otro"
"269",2019,"Hidalgo",6.89162811,"pri",6.187,5.754,0.882,-1.931867588,"pp_otro"
"270",2019,"Jalisco",3.506996572,"mc",2.968,3.453,0.674,-0.270772554,"pp_otro"
"271",2019,"Mexico",4.851372775,"pri",5.089,2.094,0.064,1.191974132,"pp_otro"
"272",2019,"Michoacan",2.668175524,"prd",4.737,3.082,-0.711,-1.292004517,"pp_izq"
"273",2019,"Morelos",3.118591417,"pes",4.66,2.547,0.457,-1.307378667,"pp_otro"
"274",2019,"Nayarit",5.458257888,"pan",4.952,3.895,0.761,-0.439762469,"pp_otro"
"275",2019,"Nuevo Leon",7.329403957,"ind",4.326,5.379,1.069,0.643857431,"pp_otro"
"276",2019,"Oaxaca",2.807757794,"pri",5.409,3.4,-0.929,-1.895343471,"pp_otro"
"277",2019,"Puebla",3.006546855,"morena",5.386,1.221,-0.973,0.588858434,"pp_izq"
"278",2019,"Queretaro",9.36271207,"pan",7.834,5.113,-0.175,1.08848806,"pp_otro"
"279",2019,"Quintana Roo",6.166682282,"prd",5.531,4.252,0.631,-0.392733352,"pp_izq"
"280",2019,"San Luis Potosi",7.268005519,"pri",7.632,3.634,0.136,-0.057949188,"pp_otro"
